strain	strain_type	subclade	date	median_titer_All_sera	median_titer_EPIHK_sera	median_titer_NIID_sera	median_titer_SCH_sera	median_titer_UWMC_sera	frac_w_titer_below_140_All_sera	frac_w_titer_below_140_EPIHK_sera	frac_w_titer_below_140_NIID_sera	frac_w_titer_below_140_SCH_sera	frac_w_titer_below_140_UWMC_sera
A/Michigan/UM-10062069629/2025	circulating_2025	J.2.5	2025.08	150.85	143.6	114.5	147.5	251.2	0.479	0.5	0.618	0.489	0.273
A/Michigan/UM-10062100736/2025	circulating_2025	J.2	2025.08	281	236.85	187.1	485.9	385.15	0.23	0.357	0.309	0.196	0.045
A/Minnesota/126/2024	circulating_2025	J.2.2	2024.81	466.15	318.6	387.4	616	643.3	0.074	0.143	0	0.17	0
A/Minnesota/133/2024	circulating_2025	J.2.1	2024.87	262.3	223.75	205.7	481.3	328.6	0.257	0.31	0.345	0.283	0.068
A/Minnesota/97/2024	circulating_2025	J.2.2	2024.59	449.2	413	339.9	505.7	693.1	0.075	0.095	0.036	0.149	0.024
A/Netherlands/01502/2025	circulating_2025	J.2	2025.19	250.3	220.25	220	396.7	326.8	0.282	0.357	0.327	0.319	0.114
A/Netherlands/10563/2023	circulating_2025	J.2.2	2023.78	401.2	277.65	303.4	698.5	527.4	0.166	0.262	0.182	0.191	0.023
A/Nevada/216/2024	circulating_2025	J.2	2024.84	144.1	103.3	96.26	282.35	151.4	0.489	0.548	0.6	0.391	0.395
A/New_York/191/2024	circulating_2025	J.2	2024.83	351.5	298.95	293.5	594.1	469.6	0.203	0.238	0.241	0.255	0.068
A/New_York/39/2025	circulating_2025	J.2	2025.1	375.3	344.65	293.3	487.5	576.15	0.122	0.119	0.182	0.17	0
A/New_York/GKISBBBE61555/2025	circulating_2025	J.2	2025.02	358.75	295.3	306.7	514.6	594.25	0.17	0.262	0.164	0.255	0
A/Norway/12374/2023	circulating_2025	J.4	2023.9	218.2	169	177.55	624.05	393.3	0.346	0.415	0.463	0.304	0.182
A/Oregon/265/2024	circulating_2025	J.2	2024.87	187.6	158.75	138.4	477.5	229.6	0.41	0.425	0.527	0.356	0.302
A/Pennsylvania/288/2024	circulating_2025	J	2024.84	154.8	124.45	109.7	250.8	203.25	0.463	0.571	0.618	0.34	0.295
A/Punta_Arenas/83659/2024	circulating_2025	J.2	2024.8	323.9	248.35	274.8	493.5	449.95	0.197	0.31	0.164	0.298	0.023
A/Queensland/IN000692/2024	circulating_2025	J.2.2	2024.79	630.25	606.2	502.7	993.4	821.1	0.037	0.071	0	0.085	0
A/Queensland/IN000803/2024	circulating_2025	J.2.2	2024.89	323.1	280.5	236.3	509.6	502.9	0.144	0.167	0.164	0.234	0
A/Rhode_Island/15446/2025	circulating_2025	J.2	2025.12	384.1	318.6	266	608.7	580.7	0.112	0.119	0.109	0.191	0.023
A/Rhode_Island/66/2024	circulating_2025	J.2	2024.9	394.55	350.65	322.9	745.7	503.8	0.138	0.214	0.055	0.255	0.045
A/Santa_Catarina/333/2025	circulating_2025	J.2	2025.01	307.45	278.15	246.7	444.5	464.65	0.165	0.19	0.182	0.277	0
A/Sao_Paulo/358026766-IAL/2024	circulating_2025	J.2	2024.86	218.2	189.15	196.2	396.5	284.3	0.283	0.31	0.309	0.37	0.136
A/Saskatchewan/RV04835/2024	circulating_2025	J.2	2024.76	365.05	213.4	251.2	477.4	516.85	0.239	0.286	0.309	0.319	0.023
A/Slovenia/49/2024	circulating_2025	J.2	2024.02	360.2	265.1	309.4	522.35	562.3	0.209	0.333	0.182	0.304	0.023
A/Switzerland/47775/2024	circulating_2025	J.2.1	2024.17	233.3	194.95	194.1	368.8	320.7	0.298	0.31	0.382	0.404	0.068
A/Switzerland/860423897313/2023	circulating_2025	J.2	2024.91	286	252.05	264.9	398.15	390.05	0.203	0.31	0.2	0.283	0.023
A/Sydney/43/2025	circulating_2025	J.2	2025.12	254.1	203.2	201.3	512.9	303.4	0.286	0.39	0.382	0.289	0.068
A/Tasmania/788/2024	circulating_2025	J.2.2	2024.77	181.8	143.35	116.3	337.2	219.75	0.419	0.476	0.564	0.333	0.273
A/Tasmania/790/2024	circulating_2025	J.2.2	2024.77	607.05	518.3	504.6	801	1055.5	0.016	0.048	0	0.021	0
A/Tasmania/836/2024	circulating_2025	J.2.2	2024.78	397.4	358.4	322.3	646.3	541.4	0.118	0.143	0.091	0.217	0.023
A/Tennessee/99/2024	circulating_2025	J.2	2024.85	291.6	250.65	224.8	481.6	488.1	0.289	0.333	0.382	0.283	0.136
A/Texas/15550/2024	circulating_2025	J.2	2024.82	422.5	284.45	282.8	666.8	609	0.158	0.262	0.189	0.159	0.023
A/Texas/ISC-1148/2025	circulating_2025	J.2	2025.03	406.4	406.4	294.8	501.5	602.05	0.139	0.195	0.109	0.213	0.045
A/Texas/ISC-1274/2025	circulating_2025	J.2	2025.08	266.85	247	195.2	534.7	394.6	0.255	0.262	0.345	0.298	0.091
A/Texas/ISC-1322/2025	circulating_2025	J.2	2025.08	378.25	332.2	305.5	622.4	574.75	0.138	0.19	0.109	0.255	0
A/Texas/ISC-1342/2025	circulating_2025	J.2.2	2025.11	370.75	288.95	294.7	539.4	534.45	0.154	0.238	0.127	0.255	0
A/Utah/87/2024	circulating_2025	J.2	2024.88	243.9	161.05	182.6	366.7	344.65	0.362	0.476	0.436	0.319	0.205
A/Utah/94/2024	circulating_2025	J.2	2024.9	189.8	153.35	167.9	380	225.05	0.356	0.429	0.382	0.362	0.25
A/Vermont/13/2025	circulating_2025	J.2	2025.04	264.3	177.6	200.8	386.3	410.5	0.305	0.429	0.382	0.304	0.091
A/Victoria/3480/2024	circulating_2025	J.2.2	2024.93	292.2	277.8	219.3	431.3	314.85	0.197	0.262	0.2	0.277	0.045
A/Victoria/3482/2024	circulating_2025	J.1.1	2024.93	132.7	100.435	85.29	212	198.05	0.529	0.595	0.764	0.391	0.318
A/Victoria/46/2024	circulating_2025	J.2	2024.07	278.4	204.95	228.7	445.35	476.05	0.257	0.357	0.291	0.283	0.091
A/Victoria/96/2025	circulating_2025	J.2	2025.07	456.7	367.7	366.9	631.15	600.65	0.13	0.195	0.111	0.174	0.045
A/Washington/15245/2025	circulating_2025	J.2	2025.06	404.25	305.2	369.3	552.8	516.05	0.191	0.238	0.255	0.213	0.045
A/Washington/284/2024	circulating_2025	J.2.4	2024.84	404.45	402.25	308.9	424.1	478.5	0.144	0.238	0.145	0.17	0.023
A/Washington/UW-25728/2024	circulating_2025	J.2	2024.95	268.5	218.45	251.8	527	297.05	0.28	0.357	0.291	0.267	0.205
A/Wisconsin/172/2024	circulating_2025	J.2	2024.87	333.4	239.1	227.7	457.7	485	0.214	0.244	0.327	0.234	0.023
A/Wisconsin/NIRC-IS-1028/2024	circulating_2025	J.2	2024.88	426.65	306.55	350.4	629.5	488.2	0.14	0.214	0.109	0.239	0
A/DistrictOfColumbia/27/2023	2025-2026 cell-based vaccine	J.2	2023.94	230.9	203.05	138.1	420.45	308.4	0.337	0.357	0.509	0.326	0.114
A/Massachusetts/18/2022	2024-2025 cell-based vaccine	J	2022.42	342.7	217.9	264.9	523.4	551.9	0.235	0.262	0.333	0.319	0
A/Thailand/8/2022	2024-2025 egg-based vaccine	J	2023	473.4	350.9	216.4	776.4	642.9	0.255	0.357	0.418	0.213	0
