strain	strain_type	subclade	date	median_titer_All_sera	median_titer_EPIHK_sera	median_titer_NIID_sera	median_titer_SCH_sera	median_titer_UWMC_sera	frac_w_titer_below_140_All_sera	frac_w_titer_below_140_EPIHK_sera	frac_w_titer_below_140_NIID_sera	frac_w_titer_below_140_SCH_sera	frac_w_titer_below_140_UWMC_sera
A/Amapa/021563-IEC/2024	circulating_2025	J.2	2024.33	306.15	281.4	263	409.5	352.2	0.191	0.286	0.145	0.255	0.091
A/Badajoz/18680568/2025	circulating_2025	J.2	2025.14	287.8	202.9	205.7	557.7	384.85	0.27	0.341	0.377	0.255	0.091
A/BurkinaFaso/3131/2023	circulating_2025	J.4	2023.89	247.95	172.65	143.9	392.2	395.9	0.33	0.429	0.491	0.34	0.023
A/Busan/461/2025	circulating_2025	J.2	2025.05	315.75	274.7	249.1	394.3	459.1	0.218	0.214	0.236	0.34	0.068
A/Canberra/613/2024	circulating_2025	J.2.2	2024.75	359.1	265.5	263.7	560.8	598.25	0.165	0.238	0.164	0.234	0.023
A/Colombia/1851/2024	circulating_2025	J.2.3	2024.9	211.1	193.5	169.6	262.55	340.9	0.33	0.366	0.4	0.413	0.116
A/Colombia/7681/2024	circulating_2025	J.2	2024.81	243.25	208.2	226.3	498.1	279.6	0.335	0.381	0.364	0.319	0.273
A/Colorado/ISC-1416/2024	circulating_2025	J.2	2024.75	356.4	236.15	258.9	640.5	600.8	0.167	0.167	0.182	0.2	0.114
A/CoteD'Ivoire/4448/2024	circulating_2025	J.2.1	2024.83	302.9	253.1	229.05	544.7	325.6	0.277	0.297	0.288	0.273	0.25
A/Croatia/10136RV/2023-egg	2025-2026 egg-based vaccine	J.2	2023.92	567.6	580.45	420.9	930.8	676.85	0.203	0.31	0.204	0.298	0
A/DE/DE-DHSS-901/2025_(H3N2)	circulating_2025	J.2.5	2025.04	252.4	178.6	197.8	296.3	413.45	0.319	0.429	0.418	0.34	0.068
A/Ecuador/1385/2024	circulating_2025	J.2	2024.92	222.9	172.3	178.35	397.9	316.9	0.321	0.452	0.389	0.277	0.159
A/Florida/ISC-1241/2025	circulating_2025	J.2	2025.11	294.7	210	219.8	458.7	327.25	0.234	0.333	0.236	0.277	0.091
A/France/ARA-RELAB-HCL025017178801/2025	circulating_2025	J.2.2	2025.04	411.25	273.55	276	554.6	569.7	0.172	0.214	0.127	0.289	0.068
A/France/BRE-IPP01880/2025	circulating_2025	J.2	2025.08	257.25	186.4	211.7	468.6	353.9	0.3	0.39	0.385	0.25	0.163
A/France/IDF-IPP29542/2023-egg	circulating_2025	J.4	2023.91	283.3	193.35	131.2	569.8	486.65	0.335	0.452	0.509	0.319	0.023
A/France/PAC-RELAB-HCL024172122101/2024	circulating_2025	J.2	2024.81	250	212	234.6	479.1	234.3	0.283	0.31	0.291	0.304	0.227
A/Ghana/FS-25-0256/2025	circulating_2025	J.2	2025.06	373.15	325.2	279.6	530.2	602.25	0.149	0.214	0.127	0.255	0
A/India/Pune-NIV24_3439/2024	circulating_2025	J.2	2024.98	225.2	171.55	198.8	327.35	226.85	0.342	0.429	0.345	0.304	0.295
A/Indiana/46/2024	circulating_2025	J.2	2024.88	132.4	106.85	89.44	279.7	172.2	0.53	0.595	0.709	0.413	0.357
A/Kentucky/57/2024	circulating_2025	J.2.5	2024.87	238.9	200.1	161.2	317	321.6	0.303	0.357	0.455	0.34	0.023
A/Lisboa/216/2023	circulating_2025	J.2.2	2023.95	397.6	298.35	301.3	615	591.7	0.154	0.214	0.164	0.213	0.023
A/Maldives/2147/2024	circulating_2025	J.1.1	2024.8	51.8	44.62	48.7	141.05	43.1	0.729	0.756	0.891	0.5	0.721
A/Maldives/2186/2024	circulating_2025	J.2.2	2024.83	268.2	217.2	196.9	496.7	339.5	0.283	0.333	0.364	0.304	0.114
A/Manitoba/RV04865/2024	circulating_2025	J.2.2	2024.83	520.05	440.6	397.7	753.7	714.7	0.064	0.119	0.018	0.128	0
A/Massachusetts/93/2024	circulating_2025	J.2	2024.81	278.1	196.7	240.3	461.1	347.6	0.269	0.366	0.296	0.34	0.068
A/Massachusetts/BI_MGH-23147/2025	circulating_2025	J.2	2025.06	329.85	333.35	234.7	544.1	423.8	0.122	0.167	0.145	0.149	0.023
A/Massachusetts/ISC-1684/2025	circulating_2025	J.2.5	2025.17	198.9	192.35	149	289.2	240	0.389	0.452	0.473	0.378	0.233
A/Mato_Grosso_do_Sul/518/2025	circulating_2025	J.2	2025.03	213.1	175.2	163.1	209.95	383	0.341	0.439	0.418	0.391	0.093
A/Michigan/120/2024	circulating_2025	J.2	2024.87	313.45	266.55	255.5	434.9	399.45	0.197	0.262	0.164	0.298	0.068
